Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,125743636,128896588,132175407,135456373,138709640,141915772,144508695,147005324,149452653,151843987,154176529,156447982,158660054,160823508,162949974,165055096,167158531,169240747,171300683,173346780,175375428,177386817,179379296,181335496,183241634,185081854,186852653
Barbados,94590,94027,93478,92928,92366,91844,91637,91408,91171,90945,90746,90584,90441,90299,90131,89915,89707,89515,89351,89230,89162,89149,89186,89280,89430,89634,89897
Brunei Darussalam,203950,210669,217331,223937,230532,237094,243643,249839,255860,261646,267127,272250,277071,281725,286422,291324,296486,301865,307343,312792,318086,323197,328175,332997,337720,342330,346841
Bhutan,109797,116178,123589,131935,140906,150224,159845,169838,180115,190589,200884,208476,215878,223217,230700,238507,246710,255172,263845,272651,281531,290468,299470,308510,317539,326515,335419
Botswana,719616,749804,780641,811945,843325,874565,905362,930220,954416,979659,1006476,1035454,1086415,1138731,1190401,1240193,1287139,1320976,1352456,1386175,1424167,1467302,1514887,1565359,1616554,1666761,1715465
Central African Republic,1199829,1234369,1268566,1302438,1336285,1370218,1403944,1437281,1470348,1503409,1537371,1572816,1609473,1645503,1678400,1706627,1729234,1747414,1764188,1783838,1809714,1843116,1883450,1930199,1982061,2038064,2098276
Canada,22760570,23081461,23428320,23739358,24048329,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461,26789863,27158023,27522537,27847821,28166078,28479640,28781576,29011826,29357013,29729549,30175056,30638234,31023904,31229095
Central Europe and the Baltics,67686515,67515755,67363668,67218739,67078013,66669587,66206030,65839890,65682785,65551568,65430714,65329206,65168162,65021934,64961672,64768515,64654506,64524893,64402919,64285250,64165146,64046460,63954111,63915976,63935712,63921152,63760621
Switzerland,5185748,5204882,5213607,5225282,5246404,5272018,5304905,5347082,5388808,5427827,5464643,5500991,5552336,5625324,5697988,5759681,5825978,5889928,5959745,6034707,6105617,6174416,6234162,6283319,6332759,6383714,6435967
Channel Islands,43793,43882,44221,44583,44928,45222,45467,45711,45950,46243,46629,47131,47734,48386,49025,49599,50053,50331,50586,50865,51207,51629,52141,52707,53283,53832,54347
Chile,12158301,12378986,12593725,12802519,13006347,13205621,13400180,13583643,13736098,13888984,14043844,14202581,14364745,14529331,14693851,14857028,15015966,15171199,15330440,15504113,15698029,15918735,16159784,16400007,16610132,16770077,16871720
China,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,679390629,700996454,722694421,744357517,765822300,787376534,809246214,829760595,848982855,866810508,882894483
Cote d'Ivoire,5851721,6098786,6349436,6600867,6852482,7101009,7342527,7578948,7814052,8053836,8302480,8561993,8832387,9114825,9409746,9718242,10041392,10379711,10732982,11100530,11483937,11883014,12298404,12729902,13176905,13639151,14116584
Cameroon,5789921,6030361,6276411,6529698,6792206,7065360,7349440,7645217,7953195,8274119,8607974,8955662,9317567,9693721,10083757,10487738,10905610,11337561,11783317,12242757,12715788,13202430,13702217,14215415,14741260,15279799,15830364
"Congo, Dem. Rep.",13652805,14233457,14788171,15338241,15915279,16544510,17234262,17981231,18783708,19635482,20534301,21483250,22487133,23545867,24661566,25833935,27065208,28355104,29704529,31115108,32586913,34121209,35717778,37376674,39095679,40874034,42710962
"Congo, Rep.",1527400,1583234,1642924,1705051,1769309,1835639,1903599,1973547,2046738,2124992,2209458,2301053,2399049,2501002,2603311,2703396,2800042,2894148,2987549,3083054,3182829,3287507,3396521,3509318,3625007,3742867,3862781
Colombia,26142216,26777679,27410870,28043541,28676309,29309133,29941978,30573545,31200435,31817836,32422511,33015425,33597407,34166609,34720224,35257425,35769913,36262053,36759801,37299404,37904385,38592067,39346013,40115208,40827302,41431388,41904698
Comoros,134541,138071,141617,145173,148735,152294,155851,159409,162991,166645,170490,174541,178801,183274,187978,192929,198124,203573,209277,215196,221336,227692,234270,241082,248154,255487,263098
Cabo Verde,188385,196596,204699,212741,220760,228797,236546,244272,251945,259570,267120,274601,282014,289440,296945,304557,310898,317397,324018,330712,337408,344094,350777,357427,364030,370577,377047
Costa Rica,1934473,2014762,2096262,2178261,2259648,2339858,2436984,2532442,2626685,2720493,2814376,2908608,3002810,3096961,3190512,3283623,3376037,3466591,3555161,3641667,3726120,3808499,3888685,3966558,4041885,4114567,4184474
Caribbean small states,3111322,3145118,3177749,3209662,3241363,3272897,3300933,3326491,3351010,3375383,3398931,3422331,3445563,3468896,3492528,3516860,3543229,3572957,3603784,3635507,3667763,3700577,3733889,3767722,3802091,3836980,3872368
Cuba,8087462,8141672,8200317,8263023,8323370,8380756,8435471,8487665,8528229,8554893,8573896,8584106,8586852,8586510,8588995,8598651,8617291,8643323,8668177,8690603,8708301,8720099,8728618,8734568,8739136,8743468,8747521
Curacao,127258,129273,130794,129469,125761,121481,117447,117440,119730,121652,124627,127696,130064,131527,132200,133691,135409,136353,137738,139450,141158,142535,142881,142040,140277,137999,135666
Cayman Islands,32161,34065,36155,38330,40423,42305,43934,45347,46624,47899,49261,50729,52280,53835,55321,56672,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720,66498
Cyprus,581991,595336,608531,621603,634594,647548,660371,671118,681117,691221,701561,712252,723130,733725,743351,751584,758208,763443,767957,772396,777234,782634,788454,794546,800707,806771,812694
Czechia,7708571,7686196,7664419,7643675,7622397,7587516,7547721,7526242,7517054,7512306,7515659,7528974,7565828,7621676,7657912,7673029,7681562,7693579,7705910,7723921,7748928,7773650,7805452,7844036,7888753,7922941,7943455
