Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,179081676.9,182805614.6,249384139.4,227586087.3,165903848.9,140326204.7,177697841.7,204364237.4,231563860.4,314314017.8,452684068.3,631831238.1,746943264,883027522.9,675426505.1,767699285.9,756277351.3,807423262.8,959801690.3,1000013449,709908846.1,592182331.4,625637816.9,709713316.4,773713028.7,844512940.9,
Belize,8052875,7965875,9395000,,,7116125,7454662.5,7829937.5,8552225,9486150,10710962.5,12283037.5,13759075,18717737.5,17267537.5,15337250,15416250,15219125,17778875,19916875,19717625,21712887.5,23055950,24225825,24472112.5,24507025,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,140760862.8,146963017.8,180200446.9,228677000.4,176744242.1,173245422.5,184397571,160437935.8,173431324.8,168881603.1,169262316.4,179525489.2,221280687.8,327194708.2,345777777.8,327413146.1,403568566.1,499870043.4,564409840.8,625885094.1,575524224.9,552381263.9,574070189.6,618842083.1,598213046,608968415,
Brazil,14318919608,14073226545,13934266552,14357357047,9866973919,11344032535,10930231568,9664561903,8392905884,9780111585,13588619736,16404867307,20485758015,24452903036,25648809911,34002944470,36936209896,33987005074,32874787231,32660239369,24617701683,24224746901,29261833097,28177406872,25906871197,19736347759,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,285738475.2,328359479.2,369070790.2,293977055.4,258413177.9,244205202,217667939.2,226182431.5,243373245,199381149.3,248588079.8,293436463.5,323137150.8,361989034.5,349759722.8,390719540,415371529,411261473.9,412094279.8,527785180.5,424022039.2,403366488.7,346706804.4,357708767.5,414728739,436548223.4,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,165873977.8,140560134.8,160507675.1,181051047.4,169578756.2,184718394.6,210322093.6,223549258.8,301014357.8,314038897.1,283835745.1,272934274.8,306451402.7,332400254.3,330147278.7,348672725.3,363324481.2,326874161.7,306438573.6,346281321.7,383739877.5,514463449.2,522430455.5,498087432.4,514720930.2,545756780.4,
Central African Republic,13014176.16,12196218.57,,,,,,10681962.96,15018926.36,15103589.92,15396194.65,,19112519.74,31511483.79,35992384.36,51585274.5,49874328.73,42746025.19,47923241.45,38407009.92,26703885.62,26832998.82,27516264.18,30517648.41,40777666.66,41303630.08,
Canada,9176903908,8615884471,7945140183,7748607984,8210778540,8299385231,8375571425,8495399281,9958245602,11336489831,12988132964,14809892803,17417139931,19342058405,18936226052,19315688825,21393720864,20452107111,18515731210,17853640478,17937641895,17782775543,22269696323,22729327580,22204408440,22754847129,
Central Europe and the Baltics,8826211623,8912763074,8949858772,9216475552,8322771004,7819364628,8692492163,9813280324,11579104282,13144893461,15493211065,16772053343,20777311269,23387708102,19628558957,19401478750,20407273071,18894887159,19518058629,20798971721,19825581504,19549118998,22029240411,27035097252,29319013375,31738509289,
Switzerland,4645360982,4239447901,3498218851,3494250971,3146822887,2800146846,2763655325,2882696762,3270337504,3503819863,3484636759,3328973394,3524746536,4098459038,4055544323,4115407849,4973863849,4592165378,5032883664,4612776477,4521076909,4571348247,4628401509,4654732701,5113682093,5701810437,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1827997369,1904105834,2120702608,2112373123,2043134812,2103460610,1893098224,1779553138,2067983998,2687320866,3100391591,3855358069,4022478104,4641877576,3902221588,4894081125,5686752070,5466101782,5529879481,5102777422,4630772774,4796010962,5370018135,5545831933,5182156529,4600739697,
China,12385129475,14275400820,15699586769,17031780200,20473915095,22237140151,26561462998,30284127410,33144000481,37904571827,42789953651,51453373234,62136590755,78840802820,96601666753,1.05523E+11,1.25286E+11,1.45128E+11,1.6407E+11,1.82109E+11,1.96539E+11,1.98538E+11,2.10443E+11,2.32531E+11,2.40333E+11,2.52304E+11,
Cote d'Ivoire,,102660140.1,93525611.26,,,,,,213007570.5,250811588.4,249872978.1,267360247.9,323619193.5,368910574.9,420059044.5,387692140,357330259,407596534.1,430003610.8,521260529.3,569671621.5,602538731.2,501578732.2,607848217.9,535951382.2,607155890,
Cameroon,113575532.7,116936303.6,118711118.8,137245911.5,144704636.5,123034343.9,124301708.4,145626610.5,188499655.9,221107924.7,223084623.1,256927843.3,296698917.3,346586125.7,343265154,354054397.8,347477885.7,354447463.1,392840630.9,401529118.1,353815494.6,387437830.9,408157575.1,429892180.6,422294772,393299390.1,
"Congo, Dem. Rep.",,89269879.98,83825040.92,26629667.19,149277860.3,132883821.7,,,78708031.88,137637805.5,165205060.9,205102086.6,205217223,159998426.6,122378011,183682097.5,238787546.6,332493979.4,374475653.4,341224634.4,491276877.1,395733745.2,295236074.3,295348364.6,352709565.6,362091615.5,
"Congo, Rep.",,,,,,,54445943.53,70704230.2,93776668.96,124298437.4,100916074.5,126569641.8,168079588.2,207724344.3,,218390920.6,,,367057295.5,704893729.4,,501812144.9,371937055.1,292260465.3,299953239,298382191.9,
Colombia,2619338187,4318552316,2988711261,3389806738,3247296766,3027922793,3264438192,3347522602,3278369503,4056896991,4914190182,5326664238,6775762767,9051130502,9033202673,10422054494,10306578506,11706271913,12503812627,11845950895,9127165375,8675980823,10018029818,10134719591,10167547856,9216420436,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,6206630.034,4261939.788,4099737.381,4513154.879,5004734.208,6801072.798,4638556.172,4520858.938,5782831.643,6452150.492,7082416.548,6985154.839,7943659.594,10758715.97,8402927.293,8239369.292,9757536.562,9736385.839,9815671.635,10048862.07,8922219.455,10171216.5,9354384.166,10714071.13,9728061.09,11279268.1,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caribbean small states,,,,,,,82145538.41,100872444.8,113479984.4,162040671.5,186300164.4,219665997.2,246993486,319035957.2,301655230.5,305046766.2,327552252.6,355159679.7,392549709.7,369393892.8,392109174.7,427200740.1,427927004.6,461655641.9,529466623.3,492327010.5,
Cuba,,,,,,,,,296933962.3,62047619.05,78557142.86,76587443.95,83365638.77,89057268.72,92462555.07,94277533.04,93744493.39,126872246.7,119383259.9,125638766.5,118370044.1,123658947.4,122552919,128609127,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,298833385.5,448075909.3,534141188.7,483748645.1,289970367,281160374.3,327627160.3,242483491,288427605.8,338474566.3,380875028.8,387703672,405176368.5,453803054.2,471352781.1,477587428.6,479735318.4,414496321.4,384925361,357806822.6,327891760,295355010,359061651,450408979.9,401589789.5,418784908.2,
Czechia,1065352459,1123923831,988324331.8,1166099773,1205931870,1157294085,1182519922,1494390397,1885706689,2042085931,2439538514,2449963710,2707677752,2918695853,2718559513,2497902955,2474313259,2220610395,2148784401,2022883295,1779887189,1954935000,2077722061,2710017583,2910252497,3252487830,
Germany,38742699103,36701189772,31267710403,31200768078,30690158426,26497593164,25815401959,27611355672,32997363017,35776573894,30324965179,35883657973,40110859276,45098956312,44528927836,43025915012,45163212878,43798225349,44242647303,44662831168,38170021071,39855047309,42210258091,46423020903,49007512315,52764761199,
Djibouti,29608206.12,24527208.38,26552855.32,26704778.84,26779052.56,26025061.75,26048131.62,33250994.54,41763775.81,37355742.99,44847260.59,49515814.11,34518711.91,36274835.28,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,3117966146,3086224945,2804317083,2846065338,2784881254,2392510831,2525225825,2694082493,3199158428,3578832460,3468452920,3896730668,4175652589,4788030121,4337355690,4503492127,4518590127,4422458084,4216647585,4056861511,3364047774,3592727944,3764033344,4558690187,4556755136,4953363914,
Dominican Republic,84449968.38,107001292.2,150664189.8,159053096.3,175000467.8,246810843.7,305900328,271663317.2,155802495.6,152878466.8,272200481.1,259240325.1,274775680.8,333538881.6,320855289.2,354856781.4,348559830.1,396187178.6,383380254.1,437572465.8,458007157.5,479722172.8,533073157.8,593678722.1,613299023.3,599052525.4,
Algeria,1234655192,1452431008,1752395278,1910962052,1826496570,1881163649,2091627274,2100602521,2206395762,2802224794,2924820167,3093978245,3945815125,5172336907,5280588156,5671309117,8652237040,9326287144,10161588239,9724379972,10412714003,10217081700,10073364021,9583724288,10303600575,9708277440,
