Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Botswana,,,,,,10.67858982,,8.851490021,,9.632920265,,,,,,7.806508541,7.974824905,7.299754143,6.721307278,6.914368629,8.739999771,
Central African Republic,1.612650037,,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.107920051,1.980347276,2.63821435,2.220153332,1.91022861,1.754088998,1.753650188,1.565876007,1.768712282,2.166697025,
Canada,5.423319817,4.953030109,4.993080139,,,4.765880108,,4.766409874,4.62612009,4.840579987,5.356369972,5.262050152,,,,,,,,,,
Switzerland,4.648369789,4.81137991,5.164219856,5.36935997,5.293079853,5.057400227,4.81757021,4.557980061,4.731929779,4.89041996,4.765629768,4.815269947,4.8583498,4.869029999,4.877799988,4.93844986,4.926459789,4.951570034,4.863259792,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,3.77583003,,4.081210136,3.963459969,3.538389921,3.262830019,3.021529913,3.21378994,3.792429924,4.230649948,4.162089825,4.045189857,,4.529429913,4.730949879,4.875309944,5.342010021,5.419660091,5.433169842,,,
China,,,,,,2.390000105,2.440000057,2.700000048,3.630000114,3.75,3.75,3.52196002,4.077429771,3.852509975,3.726639986,3.82487011,3.79362011,3.667449951,3.542490005,3.539999962,3.569999933,
Cote d'Ivoire,2.40031004,2.444770098,2.810480118,2.864370108,2.911760092,2.919440031,2.819999933,3.016139984,3.098530054,3.173939943,3.246510029,2.865760088,3.434469938,3.458600044,3.314169884,3.494159937,3.97232008,3.80347991,3.239939928,3.71638155,3.443016052,
Cameroon,1.702849984,2.297339916,,2.822590113,2.795300007,2.65651989,2.539910078,2.87816,2.498270035,2.907900095,2.84803009,2.653369904,2.603060007,2.655479908,2.583960056,2.657919884,2.562340021,3.059629917,3.030960083,3.080876589,3.166161299,
DR Congo,,,,,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,2.450000048,2.700000048
Congo,,,3.208319902,2.836159945,2.288130045,1.681020021,,,,,5.686729908,,2.739230633,5.013881207,3.183710098,3.282579899,5.239999771,4.450520039,2.995480061,3.575389862,4.448618889,
Colombia,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.449100018,4.506219864,4.933100224,
Comoros,,,2.258419991,,,,,,4.42264986,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,,
Cabo Verde,,,7.876820087,,7.476640224,,6.529600143,5.407549858,5.518000126,5.308959961,5.567289829,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,5.368846893,4.733459949,7.584794998,
Costa Rica,4.666950226,4.832029819,5.150440216,5.133739948,4.890629768,,4.616139889,4.63451004,4.886970043,6.010300159,6.565740108,6.379889965,6.582399845,6.687399864,6.67952013,6.87349987,6.893959999,7.069809914,6.769919872,6.7958498,6.710669994,
Cuba,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,4.930950165,,,,,,,,
Cyprus,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.54279995,6.538539886,,6.483779907,6.440499783,6.326129913,6.145410061,5.718530178,,,,
Czechia,3.64034009,3.732830048,3.95878005,4.117280006,3.992389917,3.865910053,4.195509911,3.84717989,3.727190018,4.14605999,4.033500195,4.242090225,4.220709801,4.046760082,3.965229988,5.751820087,5.553730011,3.806159973,4.26692009,,,
Germany,,,,,,,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.935389996,4.921020031,4.855150223,4.839230061,4.871829987,4.975769997,,,
Djibouti,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,,,,3.590240002,3.924390078,3.748559952,3.627739906,,,
Denmark,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,,,7.752439976,6.792779922,,,
Dominican Republic,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,,,2.49751997,3.480540037,3.963769913,3.816240072,3.850500107,3.920269966,3.928489923,4.042769909,4.618702412,
Algeria,,,,,,,4.619999886,4.960000038,4.33701992,6.03000021,,,,,,,7.344359875,6.505380154,5.866350174,6.100359917,,
Ecuador,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,4.362750053,4.614260197,4.621459961,4.225659847,4.134130001,
Egypt,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,3.542649984,3.344300032,3.368299961,4.122529984,4.25138998,3.930850029,4.050000191,,,2.609999895,2.480000019,
Eritrea,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,,
Spain,4.166049957,4.111269951,4.134570122,4.173429966,4.157859802,4.144320011,4.184820175,4.254049778,4.528059959,4.912000179,4.856080055,4.896920204,4.469339848,4.351019859,4.303380013,4.286570072,4.227640152,4.207779884,4.181570053,,,
Estonia,5.339459896,5.228459835,5.43460989,5.273099899,4.876749992,4.810269833,,4.619909763,5.484039783,5.960050106,5.517789841,5.014490128,4.717720032,4.843880177,4.394330025,5.144189835,5.15763998,4.961319923,5.26320982,,,
Ethiopia,3.983109951,3.700289965,3.632450104,,,,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807,5.061510086,5.64951992,5.06867981,,,
Finland,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173,6.851530075,6.363110065,6.275420189,,,
